Master PCN,Name,Final_Subdivision_Name,Unified_Group_Name,Source,Renamed
643470711,VISTAZO AT BOCA RATON,VISTAZO AT BOCA RATON,VISTAZO AT BOCA,Grouped,True
643470617,VPC CENTER,VPC CENTER,VPC CENTER,Grouped,False
643473059,WALGREENS PL,WALGREENS PL,WALGREENS,Grouped,True
643472023,WHISEM UNIT B IN,WHISEM UNIT A IN,WHISEM UNIT A,Grouped,True
643472022,WHISEM UNIT A IN,WHISEM UNIT A IN,WHISEM UNIT A,Grouped,True
642470206,WHISPER TRACE PAR 8 ARVIDA COUNTRY CLUB,WHISPER TRACE PAR 8,WHISPER TRACE PAR,Grouped,True
643473209,"WHITEHALL CONDOMINIUM 32-47-43, SLY 100 FT OF GOV LT 1 & NLY 300 FT OF GOV LT",WHITEHALL CONDOMINIUM 324743 SLY,WHITEHALL CONDOMINIUM 324743,Grouped,True
642470208,WILLOW GREENS AT BROKEN SOUND,WILLOW GREENS AT BROKEN,WILLOW GREENS AT,Grouped,True
642472319,WIMBLEDON VILLAS OF VIA VERDE,WIMBLEDON VILLAS OF VIA,WIMBLEDON VILLAS OF,Grouped,True
643470706,WINDWOOD UNIT II,WINDWOOD UNIT 1,WINDWOOD UNIT 1,Grouped,True
643470705,WINDWOOD UNIT 1,WINDWOOD UNIT 1,WINDWOOD UNIT 1,Grouped,False
643471709,WINFIELD PARK UNIT 1 IN,WINFIELD PARK UNIT 1,WINFIELD PARK UNIT,Grouped,True
643471710,WINFIELD PARK UNIT 2 IN PB 25 PGS 52 & 53,WINFIELD PARK UNIT 1,WINFIELD PARK UNIT,Grouped,True
643470510,WINSTON BAY COND DECL IN,WINSTON BAY COND DECL,WINSTON BAY COND,Grouped,True
642470412,WOODFIELD CIRCLE PL 2,WOODFIELD CIRCLE PL 1,WOODFIELD CIRCLE 1,Grouped,True
642470409,WOODFIELD CIRCLE PL 1,WOODFIELD CIRCLE PL 1,WOODFIELD CIRCLE 1,Grouped,True
642470415,WOODFIELD CIRCLE PL 3,WOODFIELD CIRCLE PL 2,WOODFIELD CIRCLE 2,Grouped,True
642470426,WOODFIELD COUNTRY CLUB RECREATION PAR REPL,WOODFIELD COUNTRY CLUB RECREATION,WOODFIELD COUNTRY CLUB,Grouped,True
642471006,WOODFIELD HUNT CLUB,WOODFIELD COUNTRY CLUB,WOODFIELD COUNTRY CLUB,Grouped,True
642470320,WOODFIELD CTRY CLUB PUD REPL TR T-1 & PORTION TR T-2,WOODFIELD COUNTRY CLUB,WOODFIELD COUNTRY CLUB,Grouped,True
642470301,WOODFIELD COUNTRY CLUB,WOODFIELD COUNTRY CLUB,WOODFIELD COUNTRY CLUB,Grouped,False
