Master PCN,Name,Final_Subdivision_Name,Unified_Group_Name,Source,Renamed
12434616E3,SEACREST HOTEL PROP PL 2,SEACREST HOTEL CORP IN,SEACREST HOTEL CORP,Grouped,True
1243460415,SEACREST SUB IN,SEACREST SUB IN,SEACREST IN,Grouped,True
1243460421,SEACREST PARK IN,SEACREST PARK IN,SEACREST PARK IN,Grouped,False
1243462146,SEAGATE ARMS,SEAGATE ARMS,SEAGATE ARMS,Grouped,False
1243462158,SEAGATE COND,SEAGATE COND,SEAGATE COND,Grouped,False
1243462108,SEAGATE EXT IN,SEAGATE EXT IN,SEAGATE EXT IN,Grouped,False
12434616L5,SEAGATE HOTEL ON ATLANTIC,SEAGATE HOTEL ON ATLANTIC,SEAGATE HOTEL ON,Grouped,True
1243461645,SEAGATE TOWERS COND DECL IN,SEAGATE MANOR COND DECL,SEAGATE MANOR COND,Grouped,True
1243461639,SEAGATE MANOR COND DECL IN,SEAGATE MANOR COND DECL,SEAGATE MANOR COND,Grouped,True
1243462181,SEAGATE RESIDENCES CONDO,SEAGATE RESIDENCES CONDO,SEAGATE RESIDENCES CONDO,Grouped,False
1243462107,SEAGATE SEC B IN,SEAGATE SEC A IN,SEAGATE SEC A,Grouped,True
1243462106,SEAGATE SEC A IN,SEAGATE SEC A IN,SEAGATE SEC A,Grouped,True
1243462186,SEAGATE VILLAS,SEAGATE VILLAS,SEAGATE VILLAS,Grouped,False
12434616M9,SEAGATE YACHT CLUB,SEAGATE YACHT CLUB,SEAGATE YACHT CLUB,Grouped,False
12434616P4,SEAGLASS COTTAGES,SEAGLASS COTTAGES,SEAGLASS COTTAGES,Grouped,False
12434616M3,SEASIDE,SEASIDE,SEASIDE,Grouped,False
1243462875,SEASIDE DUNES,SEASIDE DUNES,SEASIDE DUNES,Grouped,False
1243460961,SEASTONE COND APTS,SEASTONE COND APTS,SEASTONE COND APTS,Grouped,False
1243462148,SEAWAY VILLAS OF DELRAY BEACH  A COND DECL FILED 11-20-84,SEAWAY VILLAS OF DELRAY,SEAWAY VILLAS OF,Grouped,True
1243461607,SEESTEDT STEVENS SUB,SEESTEDT STEVENS SUB,SEESTEDT STEVENS,Grouped,True
1243460965,SEGER'S ADDITION TO DELRAY BEACH FL,SEGERS ADDITION TO DELRAY,SEGERS ADDITION TO,Grouped,True
1243462006,SELLERS ADD IN,SEGERS ADD IN,SEGERS IN,Grouped,True
1243460938,SEGERS ADD IN,SEGERS ADD IN,SEGERS IN,Grouped,True
1243460937,SEGERS ADD IN,SEGERS ADD IN,SEGERS IN,Grouped,True
1243462052,SELLERS REPL,SELLERS REPL,SELLERS,Grouped,True
1243463310,SERENA VISTA COND,SERENA VISTA COND,SERENA VISTA COND,Grouped,False
1243461943,SEVEN SEVENTY 17TH AVE COND DECL FILED 6-6-89 IN OR6089P17 07,SEVEN SEVENTY 17TH AVE,SEVEN SEVENTY 17TH,Grouped,True
1242462412,SHADYWOODS PHASE ONE,SHADYWOODS PHASE ONE,SHADYWOODS PHASE ONE,Grouped,False
1242462413,SHADYWOODS PHASE TWO,SHADYWOODS PHASE ONE,SHADYWOODS PHASE ONE,Grouped,True
1242461325,SHERWOOD FOREST PL 1,SHERWOOD FOREST PL 1,SHERWOOD FOREST 1,Grouped,True
1243462072,SHERWOOD GARDENS CONDOMINIUM,SHERWOOD GARDENS CONDOMINIUM,SHERWOOD GARDENS CONDOMINIUM,Grouped,False
1243462923,SHERWOOD HONDA,SHERWOOD HONDA,SHERWOOD HONDA,Grouped,False
1242462401,SHERWOOD PARK IN,SHERWOOD PARK IN,SHERWOOD PARK IN,Grouped,False
1243461905,HOMEWOOD PARK IN,SHERWOOD PARK IN,SHERWOOD PARK IN,Grouped,True
1242462402,SHERWOOD PARK REPL IN,SHERWOOD PARK IN,SHERWOOD PARK IN,Grouped,True
1243462882,SHERWOOD PONTIAC PL 1,SHERWOOD PONTIAC PL 1,SHERWOOD PONTIAC 1,Grouped,True
1243460981,SHOREWALKER PLACE,SHOREWALKER PLACE,SHOREWALKER PLACE,Grouped,False
1243462069,SIEMENS EVERT SERVICE CAMPUS,SIEMENS EVERT SERVICE CAMPUS,SIEMENS EVERT SERVICE,Grouped,True
1243462113,SILVER TERRACE DELRAY IN,SILVER TERRACE DELRAY IN,SILVER TERRACE DELRAY,Grouped,True
12434616C3,SIMMONS CAY,SIMMONS CAY,SIMMONS CAY,Grouped,False
12434616D7,SLOAN HAMMOCK LAND COND DECL FILED 5/21/96 OR9271P258,SLOAN HAMMOCK LAND COND,SLOAN HAMMOCK LAND,Grouped,True
1243460915,SNOW HILL IN,SNOW HILL IN,SNOW HILL IN,Grouped,False
12434616N1,SOFA DELRAY 1,SOFA DELRAY 1,SOFA DELRAY 1,Grouped,False
12434616N2,SOFA DELRAY 2,SOFA DELRAY 1,SOFA DELRAY 1,Grouped,True
1243462865,SOUTH CASTLE TOWNHOMES,SOUTH CASTLE TOWNHOMES,SOUTH CASTLE TOWNHOMES,Grouped,False
1243461859,SOUTH CONGRESS COMMERCE CENTER CONDOMINIUM,SOUTH CONGRESS COMMERCIAL CENTER,SOUTH CONGRESS COMMERCIAL,Grouped,True
1243461857,SOUTH CONGRESS COMMERCIAL CENTER,SOUTH CONGRESS COMMERCIAL CENTER,SOUTH CONGRESS COMMERCIAL,Grouped,True
1242462514,SOUTH COUNTY MENTAL HEALTH CENTER,SOUTH COUNTY MENTAL HEALTH,SOUTH COUNTY MENTAL,Grouped,True
1242462512,SOUTH COUNTY PROFESSIONAL CENTRE DECL FILED 9-25-86 IN OR5016,SOUTH COUNTY PROFESSIONAL CENTRE,SOUTH COUNTY PROFESSIONAL,Grouped,True
1243461767,SOUTH COURTHOUSE COMPLEX EXPANSION,SOUTH COURTHOUSE COMPLEX EXPANSION,SOUTH COURTHOUSE COMPLEX,Grouped,True
1243462852,SOUTH DELRAY SHOPPING CENTER,SOUTH DELRAY SHOPPING CENTER,SOUTH DELRAY SHOPPING,Grouped,True
1243462155,SOUTH OCEAN PARK,SOUTH OCEAN PARK,SOUTH OCEAN PARK,Grouped,False
1243462137,SOUTH SHORE CLUB CONDO (DEACTIVATED),SOUTH SHORE CLUB CONDO,SOUTH SHORE CLUB,Grouped,True
1243461005,SOUTHAMPTON CO-OP INC,SOUTHAMPTON COOP INC,SOUTHAMPTON COOP INC,Grouped,True
1243462017,SOUTHRIDGE PL 3 IN,SOUTHRIDGE PL 1 2,SOUTHRIDGE 1 2,Grouped,True
1243462013,SOUTHRIDGE PL 1 & 2,SOUTHRIDGE PL 1 2,SOUTHRIDGE 1 2,Grouped,True
1243462044,SOUTHRIDGE CONDO,SOUTHRIDGE CONDO,SOUTHRIDGE CONDO,Grouped,False
1243462046,SOUTHRIDGE CONDOMINIUM (DEACTIVATED),SOUTHRIDGE CONDOMINIUM DEACTIVATED,SOUTHRIDGE CONDOMINIUM DEACTIVATED,Grouped,True
1243462039,SOUTHRIDGE VILLAGE COND DECL FILED 3-12-82,SOUTHRIDGE VILLAGE COND DECL,SOUTHRIDGE VILLAGE COND,Grouped,True
1243461752,SOUTHWERK AT THE TABARD PLAT,SOUTHWERK AT THE TABARD,SOUTHWERK AT THE,Grouped,True
1243460828,SPADY S D PLAT,SPADY S D PLAT,SPADY S D,Grouped,True
1243461671,SPANISH RIVER RESORT & BEACH CLUB COND,SPANISH RIVER RESORT BEACH,SPANISH RIVER RESORT,Grouped,True
1243462832,"SPANISH TRAIL APTS COND LTS 473,474,475 & 476 TROPIC ISLES SUBD SEC 4 (PB25P70) AS",SPANISH TRAIL APTS COND,SPANISH TRAIL APTS,Grouped,True
1243462884,SPANISH TRAIL DOGWOOD TOWNHOMES,SPANISH TRAIL DOGWOOD TOWNHOMES,SPANISH TRAIL DOGWOOD,Grouped,True
1242462504,SPANISH WELLS COND I,SPANISH WELLS COND II,SPANISH WELLS COND,Grouped,True
1242462503,SPANISH WELLS COND II DECL FILED 2-22-79 OR,SPANISH WELLS COND II,SPANISH WELLS COND,Grouped,True
1243461868,SPODAK DENTAL OFFICE,SPODAK DENTAL OFFICE,SPODAK DENTAL OFFICE,Grouped,False
1243463034,SPRING HARBOR COND DECL FILED  6-4-91 IN OR6846 P327,SPRING HARBOR COND DECL,SPRING HARBOR COND,Grouped,True
1243460997,ST. GEORGE,ST GEORGE,ST GEORGE,Grouped,True
1243461839,ST MARY THE VIRGIN CHURCH,ST MARY THE VIRGIN,ST MARY THE,Grouped,True
1243462938,ST TROPEZ AT DELRAY BEACH,ST TROPEZ AT DELRAY,ST TROPEZ AT,Grouped,True
1243462939,ST TROPEZ CONDO,ST TROPEZ CONDO,ST TROPEZ CONDO,Grouped,False
12434609A8,STAMM 917 NE 8TH AVENUE,STAMM 917 NE 8TH,STAMM 917 NE,Grouped,True
12434616A4,STONE HEDGE,STONE HEDGE,STONE HEDGE,Grouped,False
1243462070,STONE STATION FLORIDA INC,STONE STATION FLORIDA INC,STONE STATION FLORIDA,Grouped,True
1243462068,STORAGE AMERICA,STORAGE AMERICA,STORAGE AMERICA,Grouped,False
1243461838,STOR-ALL CONDOMINIUM DECL FILED 1-5-87 IN OR5129P1906,STORALL CONDOMINIUM DECL FILED,STORALL CONDOMINIUM FILED,Grouped,True
12434616J1,STRAND DELRAY,STRAND DELRAY,STRAND DELRAY,Grouped,False
12434616D9,STRATFORD ATTA BOWE PL,STRATFORD ATTA BOWE PL,STRATFORD ATTA BOWE,Grouped,True
1243462022,STRICKLAND SUB IN,STRICKLAND SUB IN,STRICKLAND IN,Grouped,True
1242461330,SUAREZ DELRAY MOBIL,SUAREZ DELRAY MOBIL,SUAREZ DELRAY MOBIL,Grouped,False
1243461806,SUDAN UNIT A IN,SUDAN UNIT A IN,SUDAN UNIT A,Grouped,True
12434616B4,SUNDY & CROMER AMND PL,SUNDY CROMER AMND PL,SUNDY CROMER,Grouped,True
1243461755,SUNDY ESTATES (DEACTIVATED),SUNDY ESTATES DEACTIVATED,SUNDY ESTATES DEACTIVATED,Grouped,True
1243462010,SUNDY & TENBROOK ADD TO DELRAY IN,SUNDY TENBROOK ADD TO,SUNDY TENBROOK TO,Grouped,True
12434616Q6,SUNDY VILLAGE,SUNDY VILLAGE,SUNDY VILLAGE,Grouped,False
1242461206,SUNFLOWER DELRAY SEC 1,SUNFLOWER DELRAY SEC 1,SUNFLOWER DELRAY SEC,Grouped,True
1242461210,SUNFLOWER DELRAY SEC 1 REPLAT,SUNFLOWER DELRAY SEC 1,SUNFLOWER DELRAY SEC,Grouped,True
